날짜,게시글 URL,댓글,조회수,글 제목,작업자,쪽지 수량
2025-10-29,https://cafe.naver.com/feko/10043980,19,380,히트에서 이마축소 받은 후기 공유해요!,문나래 매니저,2
2025-10-29,https://cafe.naver.com/feko/10043563,4,218,내시경이마거상 이주일차! 붓기 진짜 많이 빠졌어요!,차예나 매니저,1
2025-10-28,https://cafe.naver.com/feko/10038586,3,103,이마축소 3주차 헤어라인 붉은끼 좋아졌어요,문나래 매니저,1
2025-10-28,https://cafe.naver.com/feko/10038110,70,889,히트성형외과 얼굴지방흡입 후기,문나래 매니저,3
2025-10-27,https://cafe.naver.com/feko/10035291,2,58,히트성형외과 중년거상 상담 썰풉니다,차예나 매니저,1
2025-10-27,https://cafe.naver.com/feko/10033874,4,220,쌍수랑 눈매교정 받으니까 훨씬 편해졌어요!,김채운 매니저,1
2025-10-27,https://cafe.naver.com/feko/10033539,5,115,얼굴지방흡입 수술 드디어 받았어요~,문나래 매니저,1
2025-10-24,https://cafe.naver.com/feko/10027626,0,243,히트성형외과 박정열원장님 남자코수술 전후 후기입니다,차예나 매니저,0
2025-10-23,https://cafe.naver.com/feko/10024599,2,67,더 나이들기전에 재수술 할수있어서 맘편해졌어요,김채운 매니저,
2025-10-23,https://cafe.naver.com/feko/10024560,13,370,"얼굴지방흡입, 실리프팅, 앞턱지방이식 하고 난 후기",문나래 매니저,
2025-10-23,https://cafe.naver.com/feko/10023871,2,139,내시경이마거상 수술 1주일 지난 후기요,차예나 매니저,
2025-10-22,https://cafe.naver.com/feko/10019591,59,931,"히트성형외과 이마축소 수술 전, 후 후기 공유해요ㅋㅋ",문나래 매니저,14
2025-10-22,https://cafe.naver.com/feko/10019165,5,387,내시경이마거상 일주일차ㅠㅠ 효과는 바로 보임 붓기와 통증ㅠㅠ,차예나 매니저,2
2025-10-21,https://cafe.naver.com/feko/10014830,28,329,남동생 쌍트하고 사람됐어요ㅋㅋㅋㅋㅋ,김채운 매니저,8
2025-10-20,https://cafe.naver.com/feko/10011143,6,53,눈재수술 생각보다 첫수보다 회복 빨리 됐어요!,김채운 매니저,
2025-10-20,https://cafe.naver.com/feko/10008833,6,319,뭉툭하고 뚱뚱한 느낌의 복코탈출하려고 코수술 받은 후기용,차예나 매니저,1
2025-10-17,https://cafe.naver.com/feko/10004769,8,415,히트 이마축소 수술 전후차이 후기,문나래 매니저,4
2025-10-17,https://cafe.naver.com/feko/10004299,6,91,연휴전에 쌍수하니까 지금은 붓기 거의 다 빠졌어요!,김채운 매니저,1
2025-10-17,https://cafe.naver.com/feko/10004128,4,83,본터널링으로 이마거상 받은거 오늘 실밥풀고 왔어요 ㅋㅋㅋ,차예나 매니저,1
2025-10-16,https://cafe.naver.com/feko/9999889,2,43,히트성형외과 안면거상 상담후기,차예나 매니저,1
2025-10-16,https://cafe.naver.com/feko/9997978,2,162,코수술 하고나서 옆태가 진짜 많이 달라진거 같아용😊,차예나 매니저,
2025-10-15,https://cafe.naver.com/feko/9995349,4,89,첫쌍수 자연유착으로 받았어요☺️,김채운 매니저,1
2025-10-15,https://cafe.naver.com/feko/9993894,5,192,히트에서 얼지흡+실리프팅,문나래 매니저,1
2025-10-14,https://cafe.naver.com/feko/9990124,2,95,이마가 너무 길어서 이마축소 하고 이번에 실밥제거도 했어요ㅋㅋ,문나래 매니저,1
2025-10-14,https://cafe.naver.com/feko/9989754,2,47,이번달말에 쌍수 할거에요!,김채운 매니저,1
2025-10-14,https://cafe.naver.com/feko/9989274,26,266,이마거상이랑 쌍수 같이했는데 효과가 생각보다 많이 좋은거 같음...,차예나 매니저,7
2025-10-13,https://cafe.naver.com/feko/9985422,4,151,내시경이마거상 본터널링 실고정 수술 1달차 찐후기,차예나 매니저,2
2025-10-13,https://cafe.naver.com/feko/9984128,6,462,히트성형외과에서 첫 쌍수 받았는데 어때요?,김채운 매니저,3
2025-10-13,https://cafe.naver.com/feko/9984105,29,406,히트성형외과 얼굴지방흡입 최주헌원장님 후기용,문나래 매니저,3
2025-10-13,https://cafe.naver.com/feko/9983546,6,123,히트에서 이마축소 받고 한달 지났어요!,문나래 매니저,3
2025-10-10,https://cafe.naver.com/feko/9978000,24,221,히트성형외과 내시경이마거상 본터널링 참고해 보세요~ (상담+가격후기),차예나 매니저,3
2025-10-10,https://cafe.naver.com/feko/9977482,7,166,피부관리 리투오 해써용~!,문나래 매니저,
2025-10-10,https://cafe.naver.com/feko/9977468,7,266,이마축소 골막고정 수술 히트에서 받았어요,문나래 매니저,2
2025-10-09,https://cafe.naver.com/feko/9975145,6,178,내시경이마거상 실고정 1달차 수술후기,차예나 매니저,2
2025-10-03,https://cafe.naver.com/feko/9969410,0,0,,차예나 매니저,3
2025-10-02,https://cafe.naver.com/feko/9967214,19,425,히트성형외과 코수술 후기 (한상철원장님),차예나 매니저,7
2025-10-01,https://cafe.naver.com/feko/9963860,0,0,,차예나 매니저,
2025-10-01,https://cafe.naver.com/feko/9963230,7,58,연휴전에 쌍수 받는사람 나야나~,김채운 매니저,1
2025-10-01,https://cafe.naver.com/feko/9963049,4,233,이마축소 실밥제거 했어요 ㅋㅋ,문나래 매니저,1
2025-10-01,https://cafe.naver.com/feko/9962330,10,80,얼지흡+실리프팅 히트에서 바로 하고왔어요,문나래 매니저,2
2025-10-01,https://cafe.naver.com/feko/9962259,7,219,"히트성형외과 기능미용코수술, 얼굴지방흡입, 얼굴지방이식 수술받은 후기",문나래 매니저,3
2025-09-30,https://cafe.naver.com/feko/9958328,8,195,얼굴지방흡입 붓기x 후기,문나래 매니저,
2025-09-29,https://cafe.naver.com/feko/9953415,12,217,내시경이마거상 2달차 후기,차예나 매니저,2
2025-09-29,https://cafe.naver.com/feko/9951739,0,321,이마축소 수술했어요 ㅋㅋㅋ,문나래 매니저,2
2025-09-29,https://cafe.naver.com/fox5282/4415768,2,27,얼굴지방흡입 상담 후기,문나래 매니저,
2025-09-29,https://cafe.naver.com/feko/9951648,2,59,얼굴지방흡입 상담 다녀온 후기,문나래 매니저,1
2025-09-29,https://cafe.naver.com/feko/9951627,8,156,이마축소 히트성형외과 상담후기 김정호원장님께 받았어요,문나래 매니저,1
2025-09-26,https://cafe.naver.com/feko/9948191,11,104,얼굴지방흡입 히트 상담후기....!!,문나래 매니저,1
2025-09-26,https://cafe.naver.com/feko/9948535,9,207,납작한 복코 탈출을 위해 고민하던 코수술받은 후기입니다😭,차예나 매니저,2
2025-09-25,https://sungyesa.com/new/d03/707192,,,쌍커풀 하고 이미지 많이 바뀐거 같대 ㅎㅎ,문나래 매니저,
2025-09-25,https://cafe.naver.com/feko/9944179,6,200,첫 쌍커풀수술 성공하고 칭찬 많이 들었어요,문나래 매니저,
2025-09-25,https://cafe.naver.com/feko/9943523,3,189,내시경이마거상 실고정 2주차 수술후기,차예나 매니저,1
2025-09-24,https://cafe.naver.com/feko/9940647,28,224,히트성형외과 내시경이마거상 상담후기 본터널링 가격,차예나 매니저,1
2025-09-24,https://sungyesa.com/new/d04/315190,,,"내시경이마거상, 자연유착 쌍수 같이 했어",문나래 매니저,
2025-09-24,https://cafe.naver.com/feko/9940140,61,"1,598",히트성형외과 이마축소 후기 금액 정보 공유,문나래 매니저,10
2025-09-24,https://cafe.naver.com/fox5282/4408938,4,39,드디어 다음주에 쌍수를 하긴하네요!!,김채운 매니저,1
2025-09-23,https://sungyesa.com/new/b01/1203827,,,https://sungyesa.com/new/bbs/board.php?bo_table=b01&wr_id=1203827,문나래 매니저,
2025-09-23,https://cafe.naver.com/feko/9935439,4,71,히트에서 얼굴지방흡입 수술했어요,문나래 매니저,
2025-09-23,https://cafe.naver.com/feko/9934123,11,249,촌스러운 이미지 탈출하고 싶어 받은 코수술 후기,차예나 매니저,1
2025-09-22,https://sungyesa.com/new/d04/315048,,,이마축소 너무 잘한 선택인거 같아,문나래 매니저,
2025-09-22,https://cafe.naver.com/feko/9929797,17,302,히트성형외과 유상수원장님 상담받고 바로 결정했어요!👍,김채운 매니저,3
2025-09-22,https://cafe.naver.com/feko/9930693,12,417,눈재수술과 내시경이마거상 같이 한 이유와 수술후기,차예나 매니저,1
2025-09-19,https://sungyesa.com/new/b01/1203305,,,늘린 코수술 후기,문나래 매니저,
2025-09-19,https://cafe.naver.com/feko/9923586,10,154,이마축소 상담 받았는데 이마축소 하기 좋은 조건이래요 ㅋㅋ,문나래 매니저,5
2025-09-19,https://cafe.naver.com/feko/9923165,6,239,내시경이마거상 실고정 본터널링으로 받은 후기,차예나 매니저,
2025-09-18,https://sungyesa.com/new/d04/314855,,,얼굴지흡 전후차이 대박이에요,문나래 매니저,
2025-09-18,https://cafe.naver.com/feko/9919652,4,91,얼굴지방흡입 실리프팅 일주일 됐는데 붓기 진짜 없는거 같아요,문나래 매니저,2
2025-09-18,https://cafe.naver.com/feko/9919638,13,203,무보형물로 코끝이랑 매부리코 수술한 후기,차예나 매니저,3
2025-09-18,https://cafe.naver.com/feko/9919031,13,59,저 눈재 성공한것같아요ㅠㅠㅠ!!!👍,김채운 매니저,4
2025-09-17,https://sungyesa.com/new/d03/706044,,,4년만에 눈재수술 받고 성공,문나래 매니저,
2025-09-17,https://cafe.naver.com/feko/9915049,0,51,얼굴지방흡입 상담 받고왔어요 ㅎㅎ,문나래 매니저,1
2025-09-17,https://cafe.naver.com/feko/9914991,18,472,이마축소 히트 김정호원장님께 받구 한달 지남용,문나래 매니저,8
2025-09-17,https://cafe.naver.com/feko/9914492,4,185,히트 이마축소 상담후기,문나래 매니저,2
2025-09-17,https://cafe.naver.com/feko/9913897,7,183,내시경이마거상 본터널링 실고정 수술 1주차 찐후기,차예나 매니저,1
2025-09-17,https://cafe.naver.com/feko/9913698,2,53,풀린눈 재수술 병원 정했어요~,김채운 매니저,1
2025-09-16,https://cafe.naver.com/feko/9910759,13,377,내시경이마거상 장단점 3달차 수술후기,차예나 매니저,2
2025-09-16,https://cafe.naver.com/feko/9909791,4,150,얼굴지방흡입 하고 얼굴 굴곡 싹 정리됐어요❤️❤️❤️,문나래 매니저,1
2025-09-15,https://sungyesa.com/new/d03/705707,,,눈재수술 했는데 이게 마지막인거면 좋겠다!!!,문나래 매니저,
2025-09-15,https://cafe.naver.com/feko/9905779,5,378,이마축소 수술후기,문나래 매니저,1
2025-09-15,https://cafe.naver.com/feko/9905653,2,81,히트 유상수원장님 상담 친절하게 잘해주셨어요!,김채운 매니저,1
2025-09-15,https://cafe.naver.com/feko/9905564,30,347,히트성형외과에서 얼굴지방흡입 실리프팅 받구왔어요,문나래 매니저,6
2025-09-15,https://cafe.naver.com/feko/9905063,0,0,,차예나 매니저,2
2025-09-12,https://cafe.naver.com/feko/9898065,14,247,화살코 때문에 자연스럽게 코수술 받은 후기,차예나 매니저,6
2025-09-11,https://cafe.naver.com/feko/9895673,29,249,히트 이마축소 상담 후기 공유해요,문나래 매니저,10
2025-09-11,https://cafe.naver.com/feko/9895199,8,240,얼굴지방흡입 상담때 CT 안찍었으면 윤곽수술 받으러 갈뻔,문나래 매니저,2
2025-09-11,https://cafe.naver.com/feko/9895003,5,98,실고정 본터널링 내시경이마거상 상담후기요,차예나 매니저,2
2025-09-10,https://cafe.naver.com/feko/9890928,4,287,이마축소 신중하게 받으세요~,문나래 매니저,1
2025-09-10,https://cafe.naver.com/feko/9890327,85,972,히트성형외과 내시경이마거상 상담후기,차예나 매니저,8
2025-09-09,https://sungyesa.com/new/b01/1201939,,,코수술 https://sungyesa.com/new/bbs/board.php?bo_table=b01&wr_id=1201939,문나래 매니저,
2025-09-09,https://cafe.naver.com/feko/9885905,3,34,강남 안면거상 상담후기 (히트성형외과),차예나 매니저,2
2025-09-09,https://cafe.naver.com/feko/9885517,9,365,이마거상이랑 쌍수 같이 하니까 이미지 확 바뀌네요!,김채운 매니저,2
2025-09-09,https://cafe.naver.com/feko/9884058,6,185,서울 이마축소 상담후기,문나래 매니저,3
2025-09-08,https://sungyesa.com/new/d04/314241,,,이마축소 받았어~,문나래 매니저,
2025-09-08,https://cafe.naver.com/feko/9880607,2,217,코수술 성공해서 남기는 후기😤♥️,차예나 매니저,1
2025-09-05,https://sungyesa.com/new/d04/314049,,,https://sungyesa.com/new/bbs/board.php?bo_table=d04&wr_id=314049,문나래 매니저,
2025-09-05,https://cafe.naver.com/feko/9875217,16,293,히트성형외과 얼굴지방흡입 실리프팅 최주헌원장님 후기!,문나래 매니저,3
2025-09-04,https://sungyesa.com/new/b01/1201047,,,복코+매부리코 코수술 후기,문나래 매니저,
2025-09-04,https://cafe.naver.com/feko/9871336,4,63,연휴전에 쌍수 받을수있겠어요!,김채운 매니저,2
2025-09-04,https://cafe.naver.com/feko/9870579,19,348,이마축소 히트성형외과 세달 지난 후기,문나래 매니저,6
2025-09-04,https://cafe.naver.com/feko/9870571,0,0,,차예나 매니저,3
2025-09-04,https://cafe.naver.com/feko/9870080,12,151,얼굴지방흡입 히트성형외과 상담요! 참고하세요ㅎ0ㅎ,문나래 매니저,4
2025-09-03,https://cafe.naver.com/feko/9866601,4,142,내시경이마거상 2달차 후기,차예나 매니저,2
2025-09-03,https://cafe.naver.com/feko/9865188,4,347,"쌍수 전,후 차이가 이렇게 크다구!?",김채운 매니저,2
2025-09-02,https://sungyesa.com/new/d03/703614,,,자연유착 눈매교정 트임하고 눈 떳어 ㅋㅋㅋ,문나래 매니저,
2025-09-02,https://cafe.naver.com/feko/9862131,18,411,"내시경이마거상, 자연유착 쌍수 같이받고온 후기",차예나 매니저,7
2025-09-01,https://cafe.naver.com/feko/9857851,8,35,눈재수술 전날 주의할거 있을까요?,김채운 매니저,1
2025-09-01,https://sungyesa.com/new/d04/313670,,,이마축소 하니까 헤어라인도 교정된느낌..?,문나래 매니저,
2025-09-01,https://cafe.naver.com/feko/9857134,0,0,,차예나 매니저,
2025-08-29,https://sungyesa.com/new/d04/313486,,,얼지흡 회복 짱 빠름~ 2주차 사진임,문나래 매니저,
2025-08-29,https://cafe.naver.com/feko/9850243,66,321,이마축소 정말 잘한 선택인거 같아요,문나래 매니저,14
2025-08-29,https://cafe.naver.com/feko/9849827,17,300,내시경이마거상 3달차 후기,차예나 매니저,
2025-08-28,https://cafe.naver.com/feko/9847400,8,233,코수술 너무 만족하는 1달차 성형후기,차예나 매니저,2
2025-08-28,https://sungyesa.com/new/b01/1199804,,,복코 자연스러운 직반으로 수술 귯귯,문나래 매니저,
2025-08-27,https://sungyesa.com/new/m02/43042,,,웨촬 전 남친 쌍수함,문나래 매니저,
2025-08-27,https://cafe.naver.com/feko/9842008,8,145,히트성형외과 안면거상 미니거상 전문원장님 상담후기,차예나 매니저,1
2025-08-27,https://cafe.naver.com/feko/9841879,11,253,얼굴지방흡입 전후차이 대박이네요,문나래 매니저,1
2025-08-27,https://cafe.naver.com/feko/9841622,6,119,이마축소 반년 지나니까 너무너무 자연스러워요 ㅎㅎ,문나래 매니저,1
2025-08-26,https://sungyesa.com/new/d04/313227,,,이마축소 골막고정 했어요,문나래 매니저,
2025-08-26,https://cafe.naver.com/feko/9838306,2,247,4년만에 눈재수술 받은거 성공한거 같아요;;;,차예나 매니저,
2025-08-26,https://cafe.naver.com/feko/9837513,4,75,얼굴지방흡입 멍 붓기 그렇게 심하지 않네요!,문나래 매니저,1
2025-08-25,https://sungyesa.com/new/d04/313134,,,얼굴지방흡입 실리프팅 수술 후기,문나래 매니저,
2025-08-25,https://cafe.naver.com/feko/9831941,5,143,무보형물로 수술받은거 잘된거 같아요 ㅁㅊㅁㅊ,차예나 매니저,1
2025-08-22,https://sungyesa.com/new/b01/1198728,,,기능+미용코 후기 공유해요!!,문나래 매니저,
2025-08-22,https://cafe.naver.com/feko/9826245,2,237,이마축소 실밥제거 하고 왔어요~,문나래 매니저,
2025-08-22,https://cafe.naver.com/feko/9826196,6,126,얼굴지방흡입 실리프팅 했어요!,문나래 매니저,1
2025-08-22,https://cafe.naver.com/feko/9825645,12,265,이번이 마지막 눈재수술 대성공!,김채운 매니저,4
2025-08-21,https://cafe.naver.com/feko/9821803,2,42,얼굴지방흡입 상담 받구 왔어요!!,문나래 매니저,1
2025-08-21,https://cafe.naver.com/feko/9821941,10,210,자려한 느낌나면서 자연스럽게 코수술 잘된후기,차예나 매니저,1
2025-08-21,https://cafe.naver.com/feko/9821614,18,605,이마축소 이벤트 히트성형외과 수술 후기 공유해요,문나래 매니저,4
2025-08-21,https://sungyesa.com/new/d03/701713,,,내시경이마거상+눈재수술 같이 하구 한달도 안됨!,문나래 매니저,
2025-08-20,https://cafe.naver.com/feko/9816440,3,143,쌍수+이마축소 세달차에요,문나래 매니저,1
2025-08-20,https://sungyesa.com/new/b01/1198222,,,코 첫수술 때 매부리 교정 안돼서 코재수술 했어ㅠㅠ,문나래 매니저,
2025-08-20,https://cafe.naver.com/feko/9815350,27,809,신논현역 히트성형외과 이마축소 후기~~,문나래 매니저,4
2025-08-19,https://sungyesa.com/new/d04/312620,,,https://sungyesa.com/new/bbs/board.php?bo_table=d04&wr_id=312620,문나래 매니저,
2025-08-19,https://cafe.naver.com/feko/9812799,50,817,얼굴지방흡입 실리프팅 히트성형외과 3주차 후기,문나래 매니저,8
2025-08-19,https://cafe.naver.com/feko/9812784,3,39,내일 쌍트 받는데 너무 떨려요!!,김채운 매니저,1
2025-08-19,https://cafe.naver.com/feko/9812628,4,127,안면거상 1달차 후기요,차예나 매니저,2
2025-08-18,https://sungyesa.com/new/d04/312487,,,이마축소 했는데 2cm 차이가 이렇게 크다니 ㅋㅋ,문나래 매니저,
2025-08-18,https://cafe.naver.com/feko/9807853,1,77,이마축소 상담후기 히트 김정호원장님으로 결정했어요~~,문나래 매니저,1
2025-08-18,https://cafe.naver.com/feko/9807502,18,204,히트 내시경이마거상 실고정 한상철원장님 상담후기,차예나 매니저,5
2025-08-18,https://cafe.naver.com/feko/9807296,23,414,히트 복코+매부리코 코수술 후기,차예나 매니저,8
2025-08-14,https://sungyesa.com/new/d04/312231,,,얼굴지방흡입 얼굴지방이식 실리프팅 했슴둥,문나래 매니저,
2025-08-14,https://cafe.naver.com/feko/9801027,4,190,자연유착 눈교 트임했는데 이정도면 성공인거죠?,문나래 매니저,1
2025-08-14,https://cafe.naver.com/feko/9801022,1,208,히트성형외과에서 쌍수 하기로 했어요!,김채운 매니저,
2025-08-14,https://cafe.naver.com/feko/9800985,8,99,얼굴지방흡입 히트에서 하기로 했어요!,문나래 매니저,1
2025-08-13,https://cafe.naver.com/feko/9797018,7,355,이마축소 전후차이 보실분.. ㅋㅋ,문나래 매니저,2
2025-08-13,https://cafe.naver.com/feko/9796623,0,0,,차예나 매니저,
2025-08-13,https://sungyesa.com/new/d03/700469,,,쌍수 시키고 안경도 벗겨놨다 드디어,문나래 매니저,
2025-08-12,https://cafe.naver.com/feko/9793150,8,269,얼굴지방흡입 회복 빠르죠 2주차고 실리프팅도 한거에요 ~,문나래 매니저,1
2025-08-12,https://sungyesa.com/new/d04/312026,,,이중턱 얼굴지방흡입 회복 빠르다,문나래 매니저,
2025-08-12,https://cafe.naver.com/feko/9792628,0,0,,차예나 매니저,1
2025-08-12,https://cafe.naver.com/feko/9791606,6,187,이마축소 5일차,문나래 매니저,2
2025-08-12,https://cafe.naver.com/feko/9791544,0,72,실리프팅 얼굴지방흡입 히트성형외과에서 받고왔어요,문나래 매니저,
2025-08-11,https://sungyesa.com/new/d04/311855,,,이마 넓어서 이마축소 했는데 효과 너무 좋아요,문나래 매니저,
2025-08-11,https://cafe.naver.com/feko/9787569,4,242,낮고 작은 복코 자연스럽게 오똑해지기 대성공,차예나 매니저,1
2025-08-11,https://cafe.naver.com/feko/9787529,2,64,쌍수상담 너무 만족했어요!!!,김채운 매니저,1
2025-08-11,https://cafe.naver.com/feko/9786366,41,666,히트성형외과 이마축소 상담 가격 공유,문나래 매니저,5
2025-08-11,https://cafe.naver.com/feko/9786013,12,142,이마축소 히트에서 수술했어요~,문나래 매니저,2
2025-08-08,https://sungyesa.com/new/b01/1196173,,,무보형물 비중격으로 코수술 받았어,문나래 매니저,
2025-08-08,https://cafe.naver.com/feko/9779525,8,374,웨딩촬영전에 남자친구 쌍수했는데 인상 선해졋어요!,김채운 매니저,3
2025-08-07,https://cafe.naver.com/feko/9776703,2,71,자연유착으로 쌍수 완룡~,김채운 매니저,1
2025-08-07,https://sungyesa.com/new/b01/1195967,,,필러 녹이고 코수술 했는데 모양 교정 넘 잘 됏어ㅜㅜ,문나래 매니저,
2025-08-07,https://cafe.naver.com/feko/9776576,27,594,히트성형외과에서 이마축소 골막고정 했어요...!,문나래 매니저,6
2025-08-07,https://cafe.naver.com/feko/9775297,4,198,실고정 본터널링으로 내시경이마거상 받은지 3주차후기ㅜㅜ,차예나 매니저,1
2025-08-06,https://cafe.naver.com/feko/9772440,11,227,신논현역 얼굴지방흡입 실리프팅 수술 후기,문나래 매니저,3
2025-08-06,https://sungyesa.com/new/d04/311406,,,이마축소 수술 후기 (2cm 줄였삼),문나래 매니저,
2025-08-06,https://cafe.naver.com/feko/9771832,12,251,고민만 수천번하다 이마축소 히트성형외과 이벤트 상담 받고왔어용!,문나래 매니저,2
2025-08-05,https://sungyesa.com/new/d04/311304,,,얼굴지방흡입이랑 실리프팅 수술 받았어,문나래 매니저,
2025-08-05,https://cafe.naver.com/feko/9767252,19,124,이마축소 상담 다녀왔어요~,문나래 매니저,9
2025-08-05,https://cafe.naver.com/feko/9767119,28,422,히트성형외과 얼굴지방흡입+실리프팅 수술 후기,문나래 매니저,4
2025-08-05,https://cafe.naver.com/feko/9766487,0,0,,차예나 매니저,
2025-08-04,https://cafe.naver.com/feko/9762759,8,99,히트에서 자연유착으로 쌍수받았어요!,김채운 매니저,2
2025-08-04,https://cafe.naver.com/feko/9762602,10,215,내시경이마거상 1달차 후기,차예나 매니저,4
2025-08-04,https://cafe.naver.com/feko/9762473,14,261,눈재+내시경이마거상 같이 받은지 2주정도 됐어요..!,차예나 매니저,6
2025-08-01,https://sungyesa.com/new/d04/310967,,,눈재 받으면서 이마거상 하길 잘한듯해..,문나래 매니저,
2025-08-01,https://cafe.naver.com/feko/9756884,11,384,코재수술 후기 점점 갈수록 코가 더 맘에드는 중...ㅠ,차예나 매니저,3
2025-08-01,https://sungyesa.com/new/m02/42799,,,눈매교정이 눈 커지게 만들어주네,문나래 매니저,
2025-07-31,https://cafe.naver.com/feko/9753005,0,0,,차예나 매니저,
2025-07-31,https://cafe.naver.com/feko/9750929,7,57,원래 남자들이 회복이 더 빨라요???,김채운 매니저,
2025-07-31,https://cafe.naver.com/feko/9750474,4,253,얼굴지방흡입 실리프팅 히트성형외과 수술 후기예요...!,문나래 매니저,1
2025-07-30,https://cafe.naver.com/feko/9748098,13,245,히트성형외과 내시경이마거상 상담후기,차예나 매니저,
2025-07-30,https://cafe.naver.com/feko/9747224,18,491,M자 헤어라인 왁싱하고 이마축소 히트성형외과 김정호원장님,문나래 매니저,2
2025-07-29,https://cafe.naver.com/feko/9744615,0,0,,문나래 매니저,1
2025-07-29,https://cafe.naver.com/feko/9743167,4,147,자연유착으로 쌍수받고 왔어요!,김채운 매니저,1
2025-07-28,https://cafe.naver.com/feko/9740392,3,101,안면거상 상담후기 히트성형외과 박정열원장님,차예나 매니저,1
2025-07-28,https://cafe.naver.com/feko/9740288,16,397,내시경이마거상 수술 받은지 1달차 많이 자연스러워졌어요ㅠㅠ,차예나 매니저,5
2025-07-28,https://cafe.naver.com/feko/9737878,14,286,남동생 쌍수 전후차이 대박이지 않아요?,김채운 매니저,3
2025-07-27,https://cafe.naver.com/feko/9736134,6,337,이중턱 얼굴지방흡입 붓기 없고 회복 엄청 빨라요,문나래 매니저,1
2025-07-24,https://cafe.naver.com/feko/9729730,5,286,히트성형외과 얼굴지방흡입+실리프팅 상담 후기,문나래 매니저,1
2025-07-24,https://cafe.naver.com/feko/9728993,0,0,,문나래 매니저,8
2025-07-24,https://cafe.naver.com/feko/9728887,17,777,내시경 이마거상 수술후기 (2주차),차예나 매니저,3
2025-07-23,https://sungyesa.com/new/b01/1193250,,,직반라인 코수술 2달차 옆태 잘나온거 같아 ㅎㅎ,문나래 매니저,
2025-07-23,https://cafe.naver.com/feko/9723559,12,366,무보형물로 코수술 받았는데 코 너무 예쁘게 잘된거 같아요;;,차예나 매니저,
2025-07-22,https://cafe.naver.com/feko/9720249,3,79,드디어 이번주 쌍수 디데이에요!,김채운 매니저,
2025-07-22,https://cafe.naver.com/feko/9720064,0,204,눈재 받을때 이마거상 같이하길 잘한거 같아요,차예나 매니저,0
2025-07-22,https://cafe.naver.com/feko/9719841,14,230,내시경이마거상 2달차 후기,차예나 매니저,4
2025-07-21,https://cafe.naver.com/fox5282/4283983,5,29,쌍수 발품 다니는게 훨씬 도움되요!,김채운 매니저,3
2025-07-21,https://cafe.naver.com/feko/9715206,4,197,구축온 코처럼 짧은 코끝과 낮은 콧대 때문에 수술받은 후기예요,차예나 매니저,2
2025-07-21,https://sungyesa.com/new/b01/1192746,,,짧고 낮은 복코 수술 두달 차,문나래 매니저,
2025-07-18,https://cafe.naver.com/feko/9709235,10,226,내시경이마거상 수술후기 1달차 공유,차예나 매니저,2
2025-07-18,https://sungyesa.com/new/free/5984558,,,나 이마축소 했어,문나래 매니저,
2025-07-18,https://cafe.naver.com/feko/9708659,24,514,이마축소 수술후기,문나래 매니저,9
2025-07-17,https://cafe.naver.com/feko/9705438,0,0,,"문나래 매니저,문나래 매니저",1
2025-07-17,https://sungyesa.com/new/d04/309769,,,실리프팅 얼굴지방흡입 했어요..!,"문나래 매니저,문나래 매니저",
2025-07-17,https://cafe.naver.com/feko/9703841,2,21,비와도 상담 돌아보길 잘했다ㅎㅎㅎ,김채운 매니저,
2025-07-16,https://cafe.naver.com/feko/9700040,16,354,히트성형외과에서 남동생 쌍수 시켜줬어요,김채운 매니저,4
2025-07-16,https://sungyesa.com/new/d04/309644,,,내시경이마거상 수술 후기,문나래 매니저,
2025-07-15,https://sungyesa.com/new/b01/1191785,,,매부리 화살코 수술했는데 코 라인 모양 어때!!,"문나래 매니저,문나래 매니저",
2025-07-15,https://cafe.naver.com/feko/9696248,16,234,코수술 2달차 직반라인으로 수술받았는데 옆태가 많이 예뻐졌어요 ㅎㅎ,차예나 매니저,3
2025-07-14,https://cafe.naver.com/feko/9691935,5,84,눈재 하길 너무너무 잘했다...,김채운 매니저,1
2025-07-14,https://sungyesa.com/new/d03/695327,,,꺾이고 겹주름 져있던거 자연스럽게 눈수술 했어요! ,문나래 매니저,
2025-07-14,https://cafe.naver.com/feko/9690698,0,0,,차예나 매니저,1
2025-07-14,https://cafe.naver.com/feko/9690502,2,162,복코와 낮은코 때문에 수술받은지 2달차,차예나 매니저,1
2025-07-11,https://sungyesa.com/new/d04/309281,,,얼지흡 실리프팅 받았는데 회복 다 된거 같아,"문나래 매니저,문나래 매니저",
2025-07-11,https://cafe.naver.com/feko/9684551,18,357,넓었던 이마 축소했어요!!,문나래 매니저,7
2025-07-10,https://sungyesa.com/new/d04/309224,,,이마축소 했오,"문나래 매니저,문나래 매니저",
2025-07-10,https://cafe.naver.com/feko/9681782,2,53,눈 상담 받아보니까 정확하게 알수있더라구요!,김채운 매니저,
2025-07-10,https://cafe.naver.com/fox5282/4262985,2,159,이마축소 히트성형외과 상담 후기,문나래 매니저,1
2025-07-10,https://cafe.naver.com/feko/9680933,5,268,내시경이마거상 1주일차 후기,차예나 매니저,1
2025-07-10,https://cafe.naver.com/feko/9680119,5,249,히트 얼굴지방흡입 사진후기요~,문나래 매니저,1
2025-07-09,https://sungyesa.com/new/d03/694589,,,눈재수술 하고 엄청 또렷해졌어요,"문나래 매니저,문나래 매니저",
2025-07-09,https://cafe.naver.com/feko/9676249,3,268,내시경이마거상 수술받은지 2주 됐어요,차예나 매니저,
