날짜,,조회수,댓글,,게시글 URL,글 제목,,,,,,병원,작업자
2025-10-24,,321,13,,https://cafe.naver.com/feko/10028701,찐가슴처럼 볼륨 빵빵하게 살려주는데 찾아요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-23,,174,36,,https://cafe.naver.com/feko/10024263,가슴수술은 어디가 잘해요?,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-22,,7,2,,https://gnun.link/comm/3607373,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-22,,213,6,,https://cafe.naver.com/feko/10020723,첫수술 하고나서 짝짝이 너무 심해서 재수술 하신분들...,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-21,,117,6,,https://cafe.naver.com/feko/10016196,최대한 키우더라도 자연스럽게 UU모양은 가능하죠?,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-21,,6,3,,https://gnun.link/comm/3605078,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-20,,18,8,,https://gnun.link/comm/3602247,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-17,,15,5,,https://gnun.link/comm/3599468,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-17,,9,3,,https://gnun.link/comm/3598988,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-16,,14,1,,https://gnun.link/comm/3596261,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-16,,150,18,,https://cafe.naver.com/feko/10000166,다들 어디서 수술 받으셨어요?,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-16,,6,3,,https://gnun.link/comm/3596364,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-15,,107,7,,https://cafe.naver.com/feko/9995092,가슴후기 찾아보면서 정보 알아보고 있어요ㅠ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-15,,13,3,,https://gnun.link/comm/3594950,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-15,,139,15,,https://cafe.naver.com/feko/9995513,가슴 보형물 이벤트 하는 병원 어딧을까여,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-15,,10,5,,https://gnun.link/comm/3593911,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-14,,131,8,,https://cafe.naver.com/feko/9991208,가슴재수술 고민중 좌우 비대칭이 심해요ㅜ^ㅜ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-14,,104,9,,https://cafe.naver.com/feko/9988963,풀로 가득 채우고 싶은데 자연스럽게 가능할까요 흑귷ㄱ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-13,,7,3,,https://gnun.link/comm/3589072,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-13,,6,1,,https://gnun.link/comm/3589100,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-10,,11,1,,https://gnun.link/comm/3585668,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-10,,8,1,,https://gnun.link/comm/3585544,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-03,,150,8,,https://cafe.naver.com/feko/9969312,연휴내내 가슴후기 보면서 병원 찾아보려고요!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-02,,7,3,,https://gnun.link/comm/3580723,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-02,,18,3,,https://gnun.link/comm/3581129,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-29,,6,2,,https://gnun.link/comm/3573752,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-29,,5,2,,https://gnun.link/comm/3573328,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-29,,2,2,,https://gnun.link/comm/3573160,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-29,,5,2,,https://gnun.link/comm/3573642,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-26,,6,2,,https://gnun.link/comm/3570300,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-26,,4,1,,https://gnun.link/comm/3570011,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-26,,4,1,,https://gnun.link/comm/3570505,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-25,,4,6,,https://gnun.link/comm/3567822,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-25,,4,10,,https://gnun.link/comm/3567795,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-25,,188,16,,https://cafe.naver.com/feko/9944813,가슴 전문으로 하는 병원요ㅠㅠ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-09-24,,210,12,,https://cafe.naver.com/feko/9941034,가슴만 전문으로 하면서 UU모양 자연스러운 곳들...,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-09-24,,3,1,,https://gnun.link/comm/3565180,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-24,,2,6,,https://gnun.link/comm/3565060,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-23,,8,2,,https://gnun.link/comm/3562915,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-22,,16,5,,https://gnun.link/comm/3561038,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-22,,234,5,,https://cafe.naver.com/feko/9930729,촉감 불만으로 가슴 재수술 하신 분........,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-09-19,,8,19,,https://gnun.link/comm/3557129,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-18,,2,1,,https://gnun.link/comm/3554443,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-18,,118,11,,https://cafe.naver.com/feko/9920204,가슴병원 손품파는거도 어려운건 마찬가지네요ㅠㅠ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-09-17,,5,2,,https://gnun.link/comm/3552261,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-16,,3,2,,https://gnun.link/comm/3549770,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-16,,8,2,,https://gnun.link/comm/3549683,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-11,,10,3,,https://gnun.link/comm/3541715,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-11,,178,23,,https://cafe.naver.com/feko/9893506,UU모양 체형에 맞게 자연스럽게 만들어주는 병원들ㅠㅠ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-09-11,,10,2,,https://gnun.link/comm/3541538,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-10,,5,1,,https://gnun.link/comm/3539177,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-09,,12,3,,https://gnun.link/comm/3537370,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-08,,134,10,,https://cafe.naver.com/feko/9880943,자연스럽게 UU모양으로 잘해주는 곳,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-09-08,,6,3,,https://gnun.link/comm/3534792,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-05,,3,2,,https://gnun.link/comm/3531908,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-04,,15,3,,https://gnun.link/comm/3529091,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-04,,13,3,,https://gnun.link/comm/3529189,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-03,,138,9,,https://cafe.naver.com/feko/9865057,가슴수술 하려고 전문으로 하는 병원!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-09-03,,5,1,,https://gnun.link/comm/3527176,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-03,,14,5,,https://gnun.link/comm/3527293,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-02,,11,3,,https://gnun.link/comm/3524635,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-02,,28,7,,https://gnun.link/comm/3524954,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-09-02,,87,8,,https://cafe.naver.com/feko/9862651,가슴 모양 자연스럽게 잘 해주는 병원이요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-09-01,,91,1,,https://cafe.naver.com/feko/9858485,정말 오래전부터 고민해오던 가슴수술 결심..,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-29,,115,3,,https://cafe.naver.com/feko/9851345,강남 가슴수술 유명한 병원,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-29,,,,,https://gnun.link/comm/3520144,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-28,,6,4,,https://gnun.link/comm/3517197,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-28,,5,3,,https://gnun.link/comm/3517112,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-28,,220,2,,https://cafe.naver.com/feko/9847661,이번 추석연휴끼고 가슴수술 가능할까요?,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-28,,12,5,,https://gnun.link/comm/3517576,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-28,,10,3,,https://gnun.link/comm/3517381,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-27,,116,11,,https://cafe.naver.com/feko/9842827,손품 더 팔아보면서 가슴병원 알아보고 있어요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-27,,3,2,,https://gnun.link/comm/3514553,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-26,,4,2,,https://gnun.link/comm/3512374,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-26,,137,8,,https://cafe.naver.com/feko/9838088,흉통이 작아도 가슴수술 가능하다고 해서 병원 알아봐요ㅜㅜ!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-26,,22,6,,https://gnun.link/comm/3512686,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-26,,9,2,,https://gnun.link/comm/3512548,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-25,,6,3,,https://gnun.link/comm/3509779,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-25,,8,2,,https://gnun.link/comm/3509756,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-25,,115,7,,https://cafe.naver.com/feko/9833512,요즘 가슴도 자연스럽게 UIU모양으로 잘해주는거 같은데,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-25,,4,1,,https://gnun.link/comm/3509810,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-22,,17,4,,https://gnun.link/comm/3506963,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-22,,9,4,,https://gnun.link/comm/3506913,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-22,,4,1,,https://gnun.link/comm/3506825,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-21,,22,3,,https://gnun.link/comm/3504587,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-21,,20,4,,https://gnun.link/comm/3504528,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-20,,8,2,,https://gnun.link/comm/3501918,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-20,,4,2,,https://gnun.link/comm/3501964,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-20,,25,5,,https://gnun.link/comm/3502099,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-19,,10,5,,https://gnun.link/comm/3499646,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-19,,8,3,,https://gnun.link/comm/3500614,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-19,,10,2,,https://gnun.link/comm/3500980,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-18,,9,1,,https://gnun.link/comm/3497297,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-18,,9,2,,https://gnun.link/comm/3497403,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-13,,5,2,,https://gnun.link/comm/3491339,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-13,,174,6,,https://cafe.naver.com/feko/9796094,A컵에서 D로 자연스럽게 수술 가능할까요ㅜㅜ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-12,,135,17,,https://cafe.naver.com/feko/9791700,가슴대칭 잘맞춰주는 원장님ㅜㅜ! 제가 자산이 없어요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-12,,19,4,,https://gnun.link/comm/3490340,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-11,,9,1,,https://gnun.link/comm/3486449,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-08,,10,2,,https://gnun.link/comm/3483250,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-07,,12,4,,https://gnun.link/comm/3482278,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-05,,0,0,,https://cafe.naver.com/feko/9767173,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-05,,0,0,,https://cafe.naver.com/feko/9767267,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-04,,159,6,,https://cafe.naver.com/feko/9763511,가슴전문으로 UIU가슴 자연스럽게 해주는 병원들이요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-08-04,,17,5,,https://gnun.link/comm/3475232,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-08-04,,226,17,,https://cafe.naver.com/feko/9763540,마취과전문의 있는 가슴수술 잘하는 병원 더 있을까용!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-07-31,,0,1,,https://gnun.link/comm/3469396,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-30,,82,4,,https://cafe.naver.com/feko/9747559,확대 상담 받아보려고 가슴병원 보는데요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-07-30,,2,1,,https://gnun.link/comm/3466795,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-30,,5,1,,https://gnun.link/comm/3467375,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-30,,8,1,,https://gnun.link/comm/3466726,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-30,,3,1,,https://gnun.link/comm/3466637,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-30,,3,1,,https://gnun.link/comm/3467486,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-29,,2,1,,https://gnun.link/comm/3464433,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-29,,5,1,,https://gnun.link/comm/3465526,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-29,,7,2,,https://gnun.link/comm/3465738,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-29,,,,,,자산이 너무 없어서 자연스럽게 가슴수술 하고싶은데요!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-07-28,,168,10,,https://cafe.naver.com/feko/9739628,가슴수술 너무 하고싶은데 병원ㅜㅜ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-07-28,,9,3,,https://gnun.link/comm/3462929,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-28,,18,10,,https://gnun.link/comm/3463010,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-28,,4,2,,https://gnun.link/comm/3463125,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-25,,192,15,,https://cafe.naver.com/feko/9733877,사이즈 자연스럽게 키우고 싶어서 가슴수술 병원 알아보고 있어요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-07-25,,18,3,,https://gnun.link/comm/3460384,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-24,,14,3,,https://gnun.link/comm/3458589,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-23,,14,11,,https://gnun.link/comm/3455453,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),"오노 아키코 매니저,오노 아키코 매니저"
2025-07-23,,14,11,,https://gnun.link/comm/3456242,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-22,,10,3,,https://gnun.link/comm/3453300,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-22,,323,13,,https://cafe.naver.com/feko/9720937,가슴수술 잘하는 병원 궁금해요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-07-21,,6,3,,https://gnun.link/comm/3451349,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-21,,103,9,,https://cafe.naver.com/feko/9716400,짝짝이 가슴이라 분석 잘해주는 병원으로 가보려는데요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-07-18,,25,3,,https://gnun.link/comm/3447342,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-07-18,,143,2,,https://cafe.naver.com/feko/9709886,윈느성형외과에서 가슴하신 분들?,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
